"game_id","margin","awayfavored"
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401377970,-15,1
401377970,-15,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401381708,3,0
401381708,3,0
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401385910,-9.5,1
401385910,-9.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401369137,-18,1
401369137,-18,1
401369870,-19.5,1
401369870,-19.5,1
401370054,-15,1
401370054,-15,1
401370794,-23,1
401370794,-23,1
401371249,-1,1
401371249,-1,1
NA,NA,NA
NA,NA,NA
401371569,-19.5,1
401371569,-19.5,1
401371575,-17.5,1
401371575,-17.5,1
401371864,-21,1
401371864,-21,1
401371905,-25.5,1
401371905,-25.5,1
401371941,-16,1
401371941,-16,1
401372009,-16.5,1
401372009,-16.5,1
401372018,-26.5,1
401372018,-26.5,1
401372159,-17,1
401372159,-17,1
401372168,-20.5,1
401372168,-20.5,1
NA,NA,NA
NA,NA,NA
401372253,-16,1
401372253,-16,1
401372270,-5,1
401372270,-5,1
401372366,-7,1
401372366,-7,1
401372401,0,1
401372401,0,1
401372435,7.5,0
401372435,7.5,0
401372479,-9.5,1
401372479,-9.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401373066,-26.5,1
401373066,-26.5,1
401373112,-16.5,1
401373112,-16.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401378564,-7,1
401378564,-7,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401365000,-24.5,1
401365000,-24.5,1
401365001,-2,1
401365001,-2,1
NA,NA,NA
NA,NA,NA
401365592,7.5,0
401365592,7.5,0
401369138,-19,1
401369138,-19,1
NA,NA,NA
NA,NA,NA
401369140,-22.5,1
401369140,-22.5,1
NA,NA,NA
NA,NA,NA
401370962,3,0
401370962,3,0
401371166,-18,1
401371166,-18,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401371590,-22,1
401371590,-22,1
401371712,-8.5,1
401371712,-8.5,1
401371720,-6.5,1
401371720,-6.5,1
401372036,-8.5,1
401372036,-8.5,1
401372142,2.5,0
401372142,2.5,0
401372180,-18.5,1
401372180,-18.5,1
401372215,-6.5,1
401372215,-6.5,1
401372279,-11,1
401372279,-11,1
401372329,-7,1
401372329,-7,1
401372475,6,0
401372475,6,0
401372549,-15.5,1
401372549,-15.5,1
401372586,1.5,1
401372586,1.5,1
NA,NA,NA
NA,NA,NA
401372650,-6,1
401372650,-6,1
NA,NA,NA
NA,NA,NA
401373383,-10,1
401373383,-10,1
NA,NA,NA
NA,NA,NA
401373626,-8.5,1
401373626,-8.5,1
401373787,-2.5,1
401373787,-2.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401364999,-25,1
401364999,-25,1
401365004,-13.5,1
401365004,-13.5,1
401365006,-10.5,1
401365006,-10.5,1
401365210,-15,1
401365210,-15,1
401365211,-5,1
401365211,-5,1
401365212,-19.5,1
401365212,-19.5,1
401365213,-4,1
401365213,-4,1
401365215,6,0
401365215,6,0
401365217,-9.5,1
401365217,-9.5,1
401365219,-13.5,1
401365219,-13.5,1
NA,NA,NA
NA,NA,NA
401369141,-12,1
401369141,-12,1
401369142,2,0
401369142,2,0
401369143,-17,1
401369143,-17,1
401369144,-18,1
401369144,-18,1
401369851,-26,1
401369851,-26,1
401369889,-12.5,1
401369889,-12.5,1
401369910,-16.5,1
401369910,-16.5,1
401369926,-7,1
401369926,-7,1
401369944,-24,1
401369944,-24,1
401369962,-25,1
401369962,-25,1
401369980,-17,1
401369980,-17,1
401370018,10.5,0
401370018,10.5,0
401370037,-17.5,1
401370037,-17.5,1
401370055,-18.5,1
401370055,-18.5,1
401370073,-3.5,1
401370073,-3.5,1
401370092,-8,1
401370092,-8,1
401370123,-9,1
401370123,-9,1
401370795,-42,1
401370795,-42,1
401370934,-8.5,1
401370934,-8.5,1
401370975,-13,1
401370975,-13,1
401371004,-18,1
401371004,-18,1
401371103,-8,1
401371103,-8,1
401371115,1,0
401371115,1,0
401371131,3.5,0
401371131,3.5,0
401371195,-16.5,1
401371195,-16.5,1
401371251,-3,1
401371251,-3,1
401371252,-4.5,1
401371252,-4.5,1
401371358,-11,1
401371358,-11,1
401371359,11,0
401371359,11,0
401371360,-11.5,1
401371360,-11.5,1
401371361,-24.5,1
401371361,-24.5,1
NA,NA,NA
NA,NA,NA
401371363,10.5,0
401371363,10.5,0
401371364,-12.5,1
401371364,-12.5,1
NA,NA,NA
NA,NA,NA
401371729,-4.5,1
401371729,-4.5,1
NA,NA,NA
NA,NA,NA
401371744,-12.5,1
401371744,-12.5,1
401371756,-9,0
401371756,-9,0
401371776,-21,1
401371776,-21,1
401371791,-6.5,1
401371791,-6.5,1
401371812,-13.5,1
401371812,-13.5,1
401371825,-19.5,1
401371825,-19.5,1
401371833,-26,1
401371833,-26,1
401371853,-22.5,1
401371853,-22.5,1
401371859,-13.5,1
401371859,-13.5,1
401371920,-7.5,1
401371920,-7.5,1
401371927,-5.5,1
401371927,-5.5,1
401371933,-15,1
401371933,-15,1
401371951,-12,1
401371951,-12,1
401371979,-33.5,1
401371979,-33.5,1
401371984,-1,1
401371984,-1,1
401371996,-16,1
401371996,-16,1
401372032,-3,1
401372032,-3,1
401372111,-17,1
401372111,-17,1
401372122,-19.5,1
401372122,-19.5,1
401372153,-19,1
401372153,-19,1
401372164,-26.5,1
401372164,-26.5,1
401372169,-13,1
401372169,-13,1
401372173,-21.5,1
401372173,-21.5,1
401372177,-10,1
401372177,-10,1
401372181,-5,1
401372181,-5,1
401372182,-9.5,1
401372182,-9.5,1
NA,NA,NA
NA,NA,NA
401372208,-3.5,1
401372208,-3.5,1
NA,NA,NA
NA,NA,NA
401372236,-2,1
401372236,-2,1
401372250,-26,0
401372250,-26,0
401372257,-18.5,1
401372257,-18.5,1
401372261,-16.5,1
401372261,-16.5,1
401372273,-12.5,1
401372273,-12.5,1
401372280,-14,1
401372280,-14,1
401372314,-25.5,1
401372314,-25.5,1
401372350,-3,1
401372350,-3,1
401372381,-33,1
401372381,-33,1
401372386,-11,1
401372386,-11,1
401372397,-14,1
401372397,-14,1
401372402,-14,1
401372402,-14,1
NA,NA,NA
NA,NA,NA
401372652,-14.5,1
401372652,-14.5,1
401372681,-23.5,1
401372681,-23.5,1
401372725,-2,1
401372725,-2,1
401372746,-12.5,1
401372746,-12.5,1
401372805,3,0
401372805,3,0
401372820,-13,1
401372820,-13,1
NA,NA,NA
NA,NA,NA
401372987,-1,1
401372987,-1,1
401373017,-4.5,1
401373017,-4.5,1
401373031,-6.5,1
401373031,-6.5,1
401373043,-4,1
401373043,-4,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401373191,-13.5,1
401373191,-13.5,1
401373308,0,1
401373308,0,1
NA,NA,NA
NA,NA,NA
401373380,-3.5,1
401373380,-3.5,1
NA,NA,NA
NA,NA,NA
401373888,-13.5,1
401373888,-13.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401378590,-12.5,1
401378590,-12.5,1
401378647,-17.5,1
401378647,-17.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401381699,4,0
401381699,4,0
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401365002,1.5,0
401365002,1.5,0
NA,NA,NA
NA,NA,NA
401365005,-8.5,1
401365005,-8.5,1
401365216,-4,1
401365216,-4,1
401365218,3,0
401365218,3,0
401365220,-10,1
401365220,-10,1
401365221,-16,1
401365221,-16,1
401365222,-20.5,1
401365222,-20.5,1
401369145,-9,1
401369145,-9,1
NA,NA,NA
NA,NA,NA
401369852,-23,1
401369852,-23,1
401369871,1.5,0
401369871,1.5,0
401369999,-15.5,1
401369999,-15.5,1
401370945,-7.5,1
401370945,-7.5,1
401370963,-7.5,1
401370963,-7.5,1
401370996,-6.5,1
401370996,-6.5,1
401371071,-4.5,1
401371071,-4.5,1
401371087,-11.5,1
401371087,-11.5,1
401371091,-15.5,1
401371091,-15.5,1
401371104,3,0
401371104,3,0
401371116,-11.5,1
401371116,-11.5,1
401371196,-6.5,1
401371196,-6.5,1
401371253,-7,1
401371253,-7,1
401371254,1.5,1
401371254,1.5,1
NA,NA,NA
NA,NA,NA
401371365,-31,1
401371365,-31,1
401371576,1,1
401371576,1,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401371594,-21.5,1
401371594,-21.5,1
401371745,2,0
401371745,2,0
401371793,-10.5,1
401371793,-10.5,1
401371805,-8.5,1
401371805,-8.5,1
401371865,-11.5,1
401371865,-11.5,1
401371893,-16.5,1
401371893,-16.5,1
401371915,-28,1
401371915,-28,1
401371960,-13.5,1
401371960,-13.5,1
401371971,-11,1
401371971,-11,1
401372133,-23.5,1
401372133,-23.5,1
NA,NA,NA
NA,NA,NA
401372262,-21,1
401372262,-21,1
401372276,-17,1
401372276,-17,1
NA,NA,NA
NA,NA,NA
401372309,-25,1
401372309,-25,1
401372374,2,0
401372374,2,0
NA,NA,NA
NA,NA,NA
401372480,-6.5,1
401372480,-6.5,1
401372486,-24.5,1
401372486,-24.5,1
NA,NA,NA
NA,NA,NA
401372552,-12,1
401372552,-12,1
NA,NA,NA
NA,NA,NA
401372603,-19,1
401372603,-19,1
NA,NA,NA
NA,NA,NA
401372834,-8,1
401372834,-8,1
NA,NA,NA
NA,NA,NA
401373026,-5,1
401373026,-5,1
401373384,-4.5,1
401373384,-4.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401373882,6,0
401373882,6,0
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401377029,-1.5,1
401377029,-1.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401383801,13.5,1
401383801,13.5,1
NA,NA,NA
NA,NA,NA
401365009,-16,1
401365009,-16,1
NA,NA,NA
NA,NA,NA
401371702,2,0
401371702,2,0
401371906,-7,1
401371906,-7,1
401371978,-21,1
401371978,-21,1
401372463,-4.5,1
401372463,-4.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401377028,2.5,0
401377028,2.5,0
401365007,-13,1
401365007,-13,1
401365008,3.5,0
401365008,3.5,0
401365223,-7.5,1
401365223,-7.5,1
401365224,-12.5,1
401365224,-12.5,1
401365594,-4,1
401365594,-4,1
401365595,7,0
401365595,7,0
401365744,4,0
401365744,4,0
401369147,-16,1
401369147,-16,1
401369149,-7.5,1
401369149,-7.5,1
401369150,12,0
401369150,12,0
401369890,-19,1
401369890,-19,1
401369927,-11,1
401369927,-11,1
401370019,-20.5,1
401370019,-20.5,1
401370074,7,0
401370074,7,0
401370124,-14,1
401370124,-14,1
401370155,-16.5,1
401370155,-16.5,1
401370796,-18,1
401370796,-18,1
401370954,-24.5,1
401370954,-24.5,1
401371072,1,0
401371072,1,0
401371167,-20,1
401371167,-20,1
401371197,-11,1
401371197,-11,1
401371256,-40,1
401371256,-40,1
401371257,-3,1
401371257,-3,1
NA,NA,NA
NA,NA,NA
401371596,-21,1
401371596,-21,1
401371597,-2.5,1
401371597,-2.5,1
NA,NA,NA
NA,NA,NA
401371872,-11,1
401371872,-11,1
401371928,-8,1
401371928,-8,1
401371934,2.5,0
401371934,2.5,0
401372001,8,0
401372001,8,0
401372007,-5.5,1
401372007,-5.5,1
401372033,-29.5,1
401372033,-29.5,1
401372263,-15,1
401372263,-15,1
401372315,-24,1
401372315,-24,1
401372387,-22,1
401372387,-22,1
401372403,-12,1
401372403,-12,1
NA,NA,NA
NA,NA,NA
401372476,-18.5,1
401372476,-18.5,1
NA,NA,NA
NA,NA,NA
401372604,-5,1
401372604,-5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401372988,-1.5,1
401372988,-1.5,1
NA,NA,NA
